datetime,title,post_url,img_urls
2019-02-26,Progress with every step  #tuesdaythoughts.....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport,https://www.instagram.com/p/BuWPDhRFoyb/,['https://scontent-iad3-1.cdninstagram.com/vp/1affa3a11eb011e8054f4ae2f46ac4ac/5D1A6C7F/t51.2885-15/e35/52014146_2270669783259236_5774713868506979573_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-25,Jumping into the week  #mondaymotivation.....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport,https://www.instagram.com/p/BuTFmpIFJjd/,['https://scontent-iad3-1.cdninstagram.com/vp/e529f32578464900f325ff6fe0446ac9/5D0E78BB/t51.2885-15/e35/51782857_381096159108524_2257434156804963226_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-21,What a view... .....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/BuI6rGcFrNm/,['https://scontent-iad3-1.cdninstagram.com/vp/ba53a9f19ea0a77abb12a30cdf188492/5D22EE7C/t51.2885-15/e35/51047963_257553335188968_3108576754151582358_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-19,Youve got this masterpiece in your hands... which button do you press first? .....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/BuEkXXzlwzl/,['https://scontent-iad3-1.cdninstagram.com/vp/0e1a13068610902ba922da9f1aa19ee7/5D171AEB/t51.2885-15/e35/51023171_165325801116887_5268321292347306958_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-19,Like the wind .....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/BuDy4solXg_/,['https://scontent-iad3-1.cdninstagram.com/vp/cbe48c553087c28a34a5009a3bd95d2f/5D0E12AA/t51.2885-15/e35/51847306_357801398150704_2111979042004388865_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-18,All smiles .....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/BuB8xwgF-e-/,['https://scontent-iad3-1.cdninstagram.com/vp/14a6cb42342757074b1e4cea6075718a/5D266EF9/t51.2885-15/e35/51000340_121189705616541_8679860805647926977_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-18,Steely focus .....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/BuBex3flY2R/,['https://scontent-iad3-1.cdninstagram.com/vp/99ee10074ac485d79a1c265073ca4c37/5D0E3E4B/t51.2885-15/e35/52944448_2169611073353743_2386823264548369257_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-18,So much love for this circuit .....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/BuBSpdClBFW/,['https://scontent-iad3-1.cdninstagram.com/vp/c323631d490241af2bf9f563db8b11f9/5D083B57/t51.2885-15/e35/51585964_536927070127876_6680304321941435185_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
2019-02-17,.....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/Bt94qaYlxAu/,"['https://scontent-iad3-1.cdninstagram.com/vp/01760d4bbb86dcf8bbc29808be5ab37b/5D1AC36F/t51.2885-15/e35/50887391_407968156637604_7193221874894443460_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com', 'https://scontent-iad3-1.cdninstagram.com/vp/cc489f682af0fa15c0e167810ad440b9/5D247219/t51.2885-15/e35/51172784_972012296326034_4506425376136584597_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']"
2019-02-17,Not the result @massafelipe19 was gunning for today - but he fought like a warrior for his first @fiaformulae points! .....#madeinmonaco #monaco #montecarlo #venturi #susiewolff #felipemassa #edoardomortara #simonadesilvestro #normannato #arthurleclerc #abbformulae #formulae #racing #motorsport #mexicocityeprix #mexicocity #mexico,https://www.instagram.com/p/Bt90WBglpzk/,['https://scontent-iad3-1.cdninstagram.com/vp/59b752d2577938f7dc18146f9de1ff55/5D096E02/t51.2885-15/e35/52319419_2716041035134746_5606883006708834962_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com']
